price,bedrooms,bathrooms,toilets,furnished,serviced,shared,parking,category,type,sub_type,state,locality,list_year,list_month
200000.0,5,5,5.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Nairobi Central,2021,7
100000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021,7
120000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021,7
180000.0,2,2,2.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
270000.0,4,4,4.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Lavington,2021,7
230000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
180000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
275000.0,4,4,4.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Kitisuru,2021,7
540000.0,6,6,6.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,2021,7
380000.0,4,4,4.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Nairobi Central,2021,7
350000.0,4,4,4.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,2021,7
230000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
400000.0,5,5,5.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,2021,7
450000.0,5,5,5.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Westlands,2021,7
95000.0,1,1,1.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,2021,7
110000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
140000.0,2,2,2.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
200000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021,7
90000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021,7
175000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021,7
225000.0,4,4,4.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021,7
