id,price,bedrooms,bathrooms,toilets,furnished,serviced,shared,parking,category,type,sub_type,state,locality,listdate
7,200000.0,5,5,5.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Nairobi Central,2021-07-18 00:00:00
8,100000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021-07-18 00:00:00
10,120000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021-07-18 00:00:00
11,180000.0,2,2,2.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
13,270000.0,4,4,4.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Lavington,2021-07-18 00:00:00
14,230000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021-07-18 00:00:00
15,180000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
16,275000.0,4,4,4.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Kitisuru,2021-07-18 00:00:00
17,540000.0,6,6,6.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,2021-07-18 00:00:00
18,380000.0,4,4,4.0,0,0,0,0,For Rent,House,Detached Duplex,Nairobi,Nairobi Central,2021-07-18 00:00:00
20,350000.0,4,4,4.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,2021-07-18 00:00:00
21,230000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
22,400000.0,5,5,5.0,0,0,0,0,For Rent,House,Missing,Nairobi,Westlands,2021-07-18 00:00:00
24,450000.0,5,5,5.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Westlands,2021-07-18 00:00:00
25,95000.0,1,1,1.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Nairobi Central,2021-07-18 00:00:00
27,110000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
29,140000.0,2,2,2.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021-07-18 00:00:00
32,200000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021-07-18 00:00:00
33,90000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Kileleshwa,2021-07-18 00:00:00
35,175000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Lavington,2021-07-18 00:00:00
37,225000.0,4,4,4.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
38,110000.0,2,2,2.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
39,250000.0,5,5,5.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Lavington,2021-07-18 00:00:00
40,250000.0,4,4,4.0,0,0,0,0,For Rent,House,Townhouse,Nairobi,Westlands,2021-07-18 00:00:00
41,200000.0,4,4,4.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Westlands,2021-07-18 00:00:00
42,140000.0,3,3,3.0,0,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021-07-18 00:00:00
43,300000.0,3,3,3.0,1,0,0,0,For Rent,Apartment,Missing,Nairobi,Parklands,2021-07-18 00:00:00
44,400000.0,5,5,5.0,0,0,0,0,For Rent,House,Townhouse,Kiambu,Kabete,2021-07-18 00:00:00
